country,iso,year,deposits,securities,country_id,region,reserves_ara,_merge,share_securities,share_deposits
ANGOLA,AGO,1999,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2000,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2001,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2002,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2003,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2004,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2005,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2006,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2007,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2008,,,2,AFR,,Matched (3),,
ANGOLA,AGO,2009,,,2,AFR,114.00046,Matched (3),,
ANGOLA,AGO,2010,,,2,AFR,138.81708,Matched (3),,
ANGOLA,AGO,2011,,,2,AFR,162.53152,Matched (3),,
ANGOLA,AGO,2012,,,2,AFR,181.20442,Matched (3),,
ANGOLA,AGO,2013,,,2,AFR,160.40482,Matched (3),,
ANGOLA,AGO,2014,,,2,AFR,135.8051,Matched (3),,
ANGOLA,AGO,2015,,,2,AFR,139.13612,Matched (3),,
ANGOLA,AGO,2016,,,2,AFR,134.30588,Matched (3),,
ANGOLA,AGO,2017,,,2,AFR,97.830017,Matched (3),,
ANGOLA,AGO,2018,,,2,AFR,89.768028,Matched (3),,
ANGOLA,AGO,2019,,,2,AFR,100.129,Matched (3),,
ANGOLA,AGO,2020,5948378472.07339,6826875862.7459,2,AFR,131.49545,Matched (3),53.438278,46.561722
ANGOLA,AGO,2021,7323230000,5209000000,2,AFR,125.2904,Matched (3),41.564831,58.435169
ANGOLA,AGO,2022,5900209436.31538,5989945653.91111,2,AFR,75.208923,Matched (3),50.377354,49.622646
ANGOLA,AGO,2023,5574988688.66069,6456287385.10707,2,AFR,85.656715,Matched (3),53.662533,46.337467
ANGOLA,AGO,2024,6523832682.0385,6326418297.90312,2,AFR,83.918434,Matched (3),49.231865,50.768135
ALBANIA,ALB,1999,,,1,EUR,,Matched (3),,
ALBANIA,ALB,2000,,,1,EUR,,Matched (3),,
ALBANIA,ALB,2001,,,1,EUR,,Matched (3),,
ALBANIA,ALB,2002,,,1,EUR,,Matched (3),,
ALBANIA,ALB,2003,,,1,EUR,,Matched (3),,
ALBANIA,ALB,2004,,,1,EUR,,Matched (3),,
ALBANIA,ALB,2005,,,1,EUR,,Matched (3),,
ALBANIA,ALB,2006,,,1,EUR,,Matched (3),,
ALBANIA,ALB,2007,,,1,EUR,180.10016,Matched (3),,
ALBANIA,ALB,2008,,,1,EUR,160.41171,Matched (3),,
ALBANIA,ALB,2009,,,1,EUR,169.6125,Matched (3),,
ALBANIA,ALB,2010,,,1,EUR,171.54491,Matched (3),,
ALBANIA,ALB,2011,,,1,EUR,147.44702,Matched (3),,
ALBANIA,ALB,2012,,,1,EUR,137.33098,Matched (3),,
ALBANIA,ALB,2013,,,1,EUR,132.87761,Matched (3),,
ALBANIA,ALB,2014,260330000,2227930000,1,EUR,131.47014,Matched (3),89.537666,10.462331
ALBANIA,ALB,2015,739880000,2147050000,1,EUR,165.3578,Matched (3),74.371391,25.628609
ALBANIA,ALB,2016,817010000,2044450000,1,EUR,160.38416,Matched (3),71.447792,28.552208
ALBANIA,ALB,2017,1457110000,1863400000,1,EUR,155.63159,Matched (3),56.117886,43.882114
ALBANIA,ALB,2018,1764330000,1911890000,1,EUR,180.97418,Matched (3),52.006954,47.993046
ALBANIA,ALB,2019,1401100000,2101230000,1,EUR,172.76727,Matched (3),59.995205,40.004795
ALBANIA,ALB,2020,1977600000,2389390000,1,EUR,203.6749,Matched (3),54.714802,45.285198
ALBANIA,ALB,2021,2571160000,2512260000,1,EUR,213.93201,Matched (3),49.420666,50.579334
ALBANIA,ALB,2022,834490000,3957570000,1,EUR,196.76495,Matched (3),82.585983,17.414015
ALBANIA,ALB,2023,1364070000,4581980000,1,EUR,212.37173,Matched (3),77.059227,22.940775
ALBANIA,ALB,2024,,,1,EUR,224.82748,Matched (3),,
